_time,battery_percent,battery_voltage,humidity,pressure_hpa,rssi,temperature_f,dewpoint_f,temp_change_1h,temp_change_3h,pressure_change_1h,pressure_change_3h,humidity_change_1h,humidity_change_3h,dewpoint_change_1h,dewpoint_change_3h
2026-08-26 00:54:00+00:00,85.7,4.06,26.0,971.4,-41.0,102.0,60.67202205876636,-2.0999999999999943,,0.1999999999999318,,1.3000000000000007,,-0.3192895976480443,
2026-08-26 00:55:00+00:00,83.6,4.04,26.2,971.4,-44.0,102.0,60.888071777737835,-2.0999999999999943,,0.14999999999997726,,1.4499999999999993,,-0.16026381024300917,
2026-08-26 00:56:00+00:00,82.8,4.03,26.2,971.4,-41.0,102.0,60.888071777737835,-2.0999999999999943,,0.10000000000002274,,1.3999999999999986,,-0.2172877418094501,
2026-08-26 00:57:00+00:00,84.3,4.04,26.0,971.4,-42.0,101.9,60.58764526121323,-2.1999999999999886,,0.1999999999999318,,1.1999999999999993,,-0.5177142583340526,
2026-08-26 00:58:00+00:00,86.6,4.07,26.1,971.4,-41.0,101.9,60.69581286338279,-2.0999999999999943,,0.1999999999999318,,1.3000000000000007,,-0.32570817530523044,
2026-08-26 00:59:00+00:00,84.6,4.05,26.3,971.4,-41.0,101.9,60.91105955101817,-2.0999999999999943,,0.1999999999999318,,1.5,,-0.11046148766985198,
2026-08-26 01:00:00+00:00,83.0,4.03,26.1,971.4,-44.0,101.8,60.61139418937944,-2.200000000000003,,0.1999999999999318,,1.2000000000000028,,-0.5237303692019637,
2026-08-26 01:01:00+00:00,87.3,4.07,26.2,971.4,-41.0,101.8,60.719159035208264,-2.1000000000000085,,0.1999999999999318,,1.3000000000000007,,-0.33208342962512916,
2026-08-26 01:02:00+00:00,83.0,4.03,26.1,971.4,-44.0,101.8,60.61139418937944,-2.1000000000000085,,0.1999999999999318,,1.1000000000000014,,-0.5530107790394538,
2026-08-26 01:03:00+00:00,83.2,4.03,26.2,971.4,-41.0,101.7,60.634698618946985,-2.200000000000003,,0.10000000000002274,,1.3000000000000007,,-0.4165438458864088,
2026-08-26 01:04:00+00:00,85.2,4.05,26.1,971.4,-41.0,101.7,60.526972812844456,-2.0999999999999943,,0.10000000000002274,,1.1000000000000014,,-0.5535065947770974,
2026-08-26 01:05:00+00:00,83.1,4.03,26.3,971.4,-41.0,101.7,60.74206357352195,-2.0999999999999943,,0.10000000000002274,,1.3000000000000007,,-0.3384158340995995,
2026-08-26 01:06:00+00:00,81.8,4.02,26.5,971.4,-41.0,101.6,60.87114175340348,-2.1000000000000085,,0.10000000000002274,,1.5,,-0.1254093286560476,
2026-08-26 01:07:00+00:00,83.2,4.03,26.5,971.4,-41.0,101.6,60.87114175340348,-2.1000000000000085,,0.10000000000002274,,1.5,,-0.1254093286560476,
2026-08-26 01:08:00+00:00,84.5,4.05,26.5,971.4,-41.0,101.6,60.87114175340348,-2.1000000000000085,,0.0,,1.5,,-0.1254093286560476,
2026-08-26 01:09:00+00:00,82.3,4.02,26.5,971.4,-41.0,101.5,60.786559586321616,-2.200000000000003,,0.10000000000002274,,1.5,,-0.20999149573790987,
2026-08-26 01:10:00+00:00,86.9,4.07,26.5,971.4,-41.0,101.5,60.786559586321616,-2.0999999999999943,,0.10000000000002274,,1.3999999999999986,,-0.23870407229485835,
2026-08-26 01:11:00+00:00,82.8,4.03,26.4,971.4,-41.0,101.4,60.59543975640831,-2.1999999999999886,,0.10000000000002274,,1.2999999999999972,,-0.42982390220816313,
2026-08-26 01:12:00+00:00,82.5,4.03,26.6,971.4,-41.0,101.4,60.80815690035463,-2.0999999999999943,,0.10000000000002274,,1.5,,-0.1331323572217329,
2026-08-26 01:13:00+00:00,83.5,4.03,26.6,971.4,-43.0,101.4,60.80815690035463,-2.0999999999999943,,0.0,,1.4000000000000021,,-0.24534182367866464,
2026-08-26 01:14:00+00:00,83.9,4.04,28.2,971.4,-41.0,101.2,62.29059093919761,-2.299999999999997,,0.10000000000002274,,2.8999999999999986,,1.1252734606575316,
2026-08-26 01:15:00+00:00,83.7,4.04,30.7,971.4,-39.0,100.6,64.19672502957961,-2.8000000000000114,,0.10000000000002274,,5.399999999999999,,3.1154653954259146,
2026-08-26 01:16:00+00:00,84.6,4.05,30.5,971.4,-39.0,100.5,63.92374780189094,-2.9000000000000057,,0.10000000000002274,,5.199999999999999,,2.842488167737244,
2026-08-26 01:17:00+00:00,82.9,4.03,30.0,971.4,-40.0,100.5,63.45188403475537,-2.9000000000000057,,0.10000000000002274,,4.699999999999999,,2.3706244006016775,
2026-08-26 01:18:00+00:00,84.45,4.045,30.15,971.4,-39.5,100.45,63.550855213127534,-2.950000000000003,,0.0,,4.849999999999998,,2.4695955789738377,
2026-08-26 01:19:00+00:00,86.0,4.06,30.3,971.4,-39.0,100.4,63.649826391499694,-2.8999999999999915,,0.10000000000002274,,5.0,,2.652627349189757,
2026-08-26 01:20:00+00:00,82.9,4.03,30.0,971.4,-39.0,100.4,63.36599098488148,-2.8999999999999915,,0.10000000000002274,,4.699999999999999,,2.3687919425715407,
2026-08-26 01:21:00+00:00,84.8,4.05,30.1,971.4,-39.0,100.4,63.460878706185305,-2.799999999999997,,0.10000000000002274,,4.800000000000001,,2.5477430033112043,
2026-08-26 01:22:00+00:00,83.6,4.04,30.0,971.3,-39.0,100.4,63.36599098488148,-2.799999999999997,,0.0,,4.699999999999999,,2.452855282007377,
2026-08-26 01:23:00+00:00,83.4,4.03,30.2,971.3,-39.0,100.3,63.469524953828014,-2.9000000000000057,,0.0,,4.800000000000001,,2.4450787205221474,
2026-08-26 01:24:00+00:00,82.9,4.03,30.2,971.3,-40.0,100.3,63.469524953828014,-2.799999999999997,,-0.10000000000002274,,4.699999999999999,,2.4182989441247287,
2026-08-26 01:25:00+00:00,87.2,4.07,30.8,971.3,-38.0,100.3,64.03127529874658,-2.799999999999997,,-0.10000000000002274,,5.400000000000002,,3.0909352812993376,
2026-08-26 01:26:00+00:00,87.0,4.07,31.3,971.4,-38.0,100.1,64.31941840371432,-2.9000000000000057,,0.10000000000002274,,5.800000000000001,,3.3523413454844686,
2026-08-26 01:27:00+00:00,87.7,4.08,31.9,971.3,-38.0,100.0,64.77701077936072,-3.0,,-0.10000000000002274,,6.5,,3.920779719708513,
2026-08-26 01:28:00+00:00,84.7,4.05,32.3,971.4,-38.0,99.8,64.96130218642563,-3.200000000000003,,0.0,,6.799999999999997,,3.9942251281957724,
2026-08-26 01:29:00+00:00,85.5,4.06,32.4,971.4,-39.0,99.6,64.87660245173076,-3.3000000000000114,,0.0,,6.899999999999999,,3.993677081132951,
2026-08-26 01:30:00+00:00,81.7,4.02,33.0,971.4,-38.0,99.5,65.31674689333383,-3.4000000000000057,,0.0,,7.5,,4.433821522736018,
2026-08-26 01:31:00+00:00,83.1,4.03,32.6,971.4,-41.0,99.5,64.9664461788071,-3.299999999999997,,0.0,,7.100000000000001,,4.167675232133419,
2026-08-26 01:32:00+00:00,87.1,4.07,32.8,971.4,-39.0,99.4,65.05520910099963,-3.3999999999999915,,0.0,,7.099999999999998,,4.036046845438236,
2026-08-26 01:33:00+00:00,82.3,4.02,32.0,971.4,-39.0,99.5,64.43385313364057,-3.299999999999997,,0.10000000000002274,,6.399999999999999,,3.524697342831459,
2026-08-26 01:34:00+00:00,83.85,4.035,32.1,971.4,-39.0,99.6,64.60975948135123,-3.1000000000000085,,0.0,,6.400000000000002,,3.674833954561464,
2026-08-26 01:35:00+00:00,85.4,4.05,32.2,971.4,-39.0,99.7,64.78566582906188,-3.0,,0.0,,6.5000000000000036,,3.850740302272115,
2026-08-26 01:36:00+00:00,86.3,4.06,32.0,971.4,-39.0,99.8,64.6936240055563,-2.9000000000000057,,0.0,,6.199999999999999,,3.6491072137609706,
2026-08-26 01:37:00+00:00,82.4,4.02,31.7,971.4,-39.0,100.0,64.59670313161678,-2.5999999999999943,,0.0,,5.800000000000001,,3.5272863169471123,
2026-08-26 01:38:00+00:00,82.4,4.02,31.6,971.4,-39.0,100.1,64.59262246882624,-2.5,,0.0,,5.900000000000002,,3.741936395580993,
2026-08-26 01:39:00+00:00,86.2,4.06,31.5,971.4,-39.0,100.1,64.50180846252964,-2.4000000000000057,,0.0,,5.699999999999999,,3.625852473713806,
2026-08-26 01:40:00+00:00,81.9,4.02,31.2,971.4,-40.0,100.2,64.31415079389559,-2.299999999999997,,0.0,,5.5,,3.547706899099964,
2026-08-26 01:41:00+00:00,83.6,4.04,31.2,971.4,-39.0,100.3,64.40045987866172,-2.200000000000003,,0.0,,5.300000000000001,,3.4153642821720567,
2026-08-26 01:42:00+00:00,85.4,4.05,31.0,971.3,-39.0,100.3,64.21639050577937,-2.1000000000000085,,-0.10000000000002274,,5.100000000000001,,3.3156188407730554,
2026-08-26 01:43:00+00:00,86.4,4.06,30.8,971.4,-39.0,100.4,64.11744637746447,-2.0,,0.0,,5.100000000000001,,3.4352473861557726,
2026-08-26 01:44:00+00:00,83.5,4.03,30.8,971.4,-39.0,100.4,64.11744637746447,-2.0,,-0.10000000000002274,,5.100000000000001,,3.4352473861557726,
2026-08-26 01:45:00+00:00,83.8,4.035,30.700000000000003,971.3499999999999,-39.5,100.45,64.06737541223939,-1.8499999999999943,,-0.05000000000006821,,4.900000000000002,,3.3599911030571974,
2026-08-26 01:46:00+00:00,84.1,4.04,30.6,971.3,-40.0,100.5,64.0173044470143,-1.7999999999999972,,-0.20000000000004547,,4.700000000000003,,3.200859426925639,
2026-08-26 01:47:00+00:00,83.4,4.03,30.7,971.4,-39.0,100.5,64.110592968842,-1.7999999999999972,,-0.10000000000002274,,4.899999999999999,,3.4032086596598106,
2026-08-26 01:48:00+00:00,87.1,4.07,30.6,971.4,-39.0,100.5,64.0173044470143,-1.7000000000000028,,0.0,,4.5,,3.0682517755134384,
2026-08-26 01:49:00+00:00,85.1,4.05,30.4,971.4,-39.0,100.5,63.82992137249156,-1.7000000000000028,,-0.05000000000006821,,4.299999999999997,,2.8808687009907032,
2026-08-26 01:50:00+00:00,86.3,4.06,30.4,971.4,-39.0,100.5,63.82992137249156,-1.7000000000000028,,-0.10000000000002274,,4.299999999999997,,2.8808687009907032,
2026-08-26 01:51:00+00:00,84.19999999999999,4.039999999999999,30.35,971.45,-39.0,100.55,63.825869737568105,-1.6000000000000085,,0.0,,4.399999999999999,,3.0819425258968565,
2026-08-26 01:52:00+00:00,82.1,4.02,30.3,971.5,-39.0,100.6,63.82181810264465,-1.5,,0.10000000000002274,,4.5,,3.2830163508030026,
2026-08-26 01:53:00+00:00,82.1,4.02,30.3,971.5,-40.0,100.6,63.82181810264465,-1.5,,0.10000000000002274,,4.400000000000002,,3.1740345132181176,
2026-08-26 01:54:00+00:00,85.4,4.05,30.2,971.5,-39.0,100.6,63.72741246667411,-1.4000000000000057,,0.10000000000002274,,4.199999999999999,,3.055390407907751,
